"Ovile Gestão — Checklist de Testes"
"Testador: Edson","Data: 07/04/2026","Commit: 201cecf"

"Seção","ID","Cenário","Perfis Aplicáveis","Super Admin","Admin","Líder","Membro","Observação"
"Auth & Login","a1","Acessar /login sem estar logado → deve mostrar tela de login","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Auth & Login","a2","Fazer login com Google → deve redirecionar para /dashboard","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Auth & Login","a3","Acessar /dashboard sem estar logado → deve redirecionar para /login","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Auth & Login","a4","Fazer logout → deve voltar para /login","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Múltiplas Congregações (select-church)","b1","Login com conta vinculada a 2+ congregações → redireciona para /select-church","SA, ADM","OK","OK","N/A","N/A",""
"Múltiplas Congregações (select-church)","b2","/select-church lista todas as congregações do usuário corretamente","SA, ADM","OK","OK","N/A","N/A","quando tenta um usuário que é so membro e não tem o código e interrompe e volta para a landing, ao tentar acessar novamente, dá erro no servidor e volta para a tela /entrar"
"Múltiplas Congregações (select-church)","b3","Selecionar Porto Belo → dashboard carrega com Porto Belo ativo no sidebar","SA, ADM","OK","OK","N/A","N/A",""
"Múltiplas Congregações (select-church)","b4","Selecionar UMADC CIC → dashboard carrega com UMADC CIC ativo no sidebar","SA","OK","N/A","N/A","N/A",""
"Múltiplas Congregações (select-church)","b5","Trocar congregação pelo switcher no sidebar → recarrega com a correta","SA, ADM","OK","OK","N/A","N/A",""
"Usuário Novo (sem congregação)","c1","Login com Google sem vínculo a congregação → redireciona para /entrar","MEM","N/A","N/A","N/A","OK","abriu uma tela pedindo o código da igreja. Seria interessante, quando criar o estabelecimento, o admim deste estabelecimento receber de forma automática já o código do estabelecimento e o link para disponibilizar aos membros."
"Usuário Novo (sem congregação)","c2","Não acessa /dashboard diretamente enquanto sem congregação","MEM","N/A","N/A","N/A","OK",""
"Página /entrar (Join por Código)","d1","Digitar código inválido (6 chars) → exibe mensagem de erro","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Página /entrar (Join por Código)","d2","Digitar código válido → exibe nome da congregação encontrada","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Página /entrar (Join por Código)","d3","Usuário não logado + código válido → exibe botão ""Entrar com Google""","MEM","N/A","N/A","N/A","OK",""
"Página /entrar (Join por Código)","d4","Acessar /entrar?c=CODIGO → pré-preenche e busca automaticamente","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Página /entrar (Join por Código)","d5","Usuário logado + código válido → exibe botão ""Entrar em [nome]""","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Página /entrar (Join por Código)","d6","Clicar em entrar → redireciona para /dashboard com a congregação ativa","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Dashboard & Sidebar","e1","Logo da congregação aparece no sidebar (se configurada)","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Dashboard & Sidebar","e2","Nome da congregação correto no sidebar","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Dashboard & Sidebar","e3","Navegação entre seções do menu lateral funciona","SA, ADM, LID, MEM","OK","OK","OK","OK",""
"Dashboard & Sidebar","e4","Sidebar exibe as seções corretas para cada perfil","SA, ADM, LID, MEM","OK","OK","OK","Falhou","precisa aparecer os membros, somente o nome e a quantidade total"
"Membros","f1","Listar membros → carrega corretamente","SA, ADM, LID","OK","OK","OK","N/A",""
"Membros","f2","Paginação funciona (próxima / anterior)","SA, ADM, LID","Falhou","Falhou","Falhou","N/A","não mostrou paginação"
"Membros","f3","Busca por nome filtra corretamente","SA, ADM, LID","OK","OK","OK","N/A",""
"Membros","f4","Filtros (status, ministério etc.) funcionam","SA, ADM, LID","Falhou","Falhou","Falhou","N/A","não localizei os filtros"
"Membros","f5","Abrir diálogo de novo membro → visual correto (indigo/slate, sem amarelo)","SA, ADM","OK","OK","N/A","N/A",""
"Membros","f6","Criar membro → aparece na lista imediatamente","SA, ADM","Falhou","Falhou","N/A","N/A","Limite de 10 membros atingido no plano gratuito. Faça upgrade para o plano Pro.- deu este erro, mesmo estando configurado como plano pró"
"Membros","f7","Editar membro → salva e reflete na lista","SA, ADM","OK","OK","N/A","N/A",""
"Membros","f8","Excluir membro → confirma antes, remove da lista","SA, ADM","OK","OK","N/A","N/A","mas ainda no visual antigo, com amarelos e etc"
"Membros","f9","Export XLSX → baixa planilha com coluna ""ID (não editar)""","SA, ADM","OK","OK","N/A","N/A",""
"Membros","f10","Import: baixar planilha, editar um campo, reimportar → atualiza sem duplicar","SA, ADM","OK","OK","N/A","N/A",""
"Membros","f11","Import com aniversário DD/MM (sem ano) → importa sem erro","SA, ADM","OK","OK","N/A","N/A",""
"Membros","f12","Import com dados inválidos → gera log de erros exportável","SA, ADM","OK","OK","N/A","N/A",""
"Membros","f13","Membro não consegue criar/editar/excluir (bloqueado)","MEM","N/A","N/A","N/A","OK",""
"Configurações","g1","Abrir /configuracoes → exibe nome atual da congregação","SA, ADM","OK","OK","N/A","N/A",""
"Configurações","g2","Alterar nome → salva e reflete no sidebar após reload","SA, ADM","OK","OK","N/A","N/A",""
"Configurações","g3","Upload de logo → aparece no sidebar e na tela de seleção","SA, ADM","OK","OK","N/A","N/A",""
"Configurações","g4","Link de acesso aparece (se código gerado) com botão copiar","SA, ADM","OK","OK","N/A","N/A",""
"Configurações","g5","Trocar congregação nas configurações → recarrega com a correta","SA, ADM","OK","OK","N/A","N/A",""
"Configurações","g6","Membro/Líder não acessa /configuracoes (bloqueado ou sem menu)","LID, MEM","N/A","N/A","OK","OK",""
"Painel Super Admin","h1","Acessar /super-admin como Super Admin → lista todos os estabelecimentos com stats","SA","OK","N/A","N/A","N/A",""
"Painel Super Admin","h2","Usuário comum tentando acessar /super-admin → bloqueado (403/redirect)","ADM, LID, MEM","N/A","Pendente","Pendente","Pendente",""
"Painel Super Admin","h3","Gerar código de acesso para um estabelecimento → código aparece na lista","SA","OK","N/A","N/A","N/A",""
"Painel Super Admin","h4","Copiar link de acesso → copia para a área de transferência","SA","OK","N/A","N/A","N/A",""
"Painel Super Admin","h5","Regenerar código → gera novo código diferente","SA","OK","N/A","N/A","N/A",""
"Painel Super Admin","h6","Remover código (lixeira) → confirma e remove","SA","OK","N/A","N/A","N/A",""
"Painel Super Admin","h7","Link-self → Super Admin vincula conta a um estabelecimento → aparece no /select-church","SA","OK","N/A","N/A","N/A","precisa ter a opção de se descincular tmb"
"Painel Super Admin","h8","Criar novo estabelecimento → aparece na lista","SA","OK","N/A","N/A","N/A",""
